Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.04     0.00        2     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::initializer_list<int>, std::allocator<int> const&)
  0.00      0.04     0.00        2     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.04     0.00        2     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.04     0.00        2     0.00     0.00  std::iterator_traits<int const*>::difference_type std::__distance<int const*>(int const*, int const*, std::random_access_iterator_tag)
  0.00      0.04     0.00        2     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.04     0.00        2     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.00      0.04     0.00        2     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.04     0.00        2     0.00     0.00  int* std::__copy_move_a1<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.04     0.00        2     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.04     0.00        2     0.00     0.00  int* std::uninitialized_copy<int const*, int*>(int const*, int const*, int*)
  0.00      0.04     0.00        2     0.00     0.00  std::iterator_traits<int const*>::iterator_category std::__iterator_category<int const*>(int const* const&)
  0.00      0.04     0.00        2     0.00     0.00  int* std::__uninitialized_copy_a<int const*, int*, int>(int const*, int const*, int*, std::allocator<int>&)
  0.00      0.04     0.00        2     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.04     0.00        2     0.00     0.00  int* std::copy<int const*, int*>(int const*, int const*, int*)
  0.00      0.04     0.00        2     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.04     0.00        2     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.04     0.00        2     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.04     0.00        2     0.00     0.00  std::iterator_traits<int const*>::difference_type std::distance<int const*>(int const*, int const*)
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z13test_templatev
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z21test_high_perfermancev
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z5fork1v
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z5func1Ri
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z5main2v
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z9main_triev
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z9test_autov
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z9test_forkv
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN7MyClassC2Ev
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZlsRSoRK6OpCls2
  0.00      0.04     0.00        1     0.00     0.00  base_test2()
  0.00      0.04     0.00        1     0.00     0.00  base_test3()
  0.00      0.04     0.00        1     0.00     0.00  base_test4()
  0.00      0.04     0.00        1     0.00     0.00  base_test5()
  0.00      0.04     0.00        1     0.00     0.00  void print_var2<char const*>(char const*)
  0.00      0.04     0.00        1     0.00     0.00  void print_var2<double, char const*>(double, char const*)
  0.00      0.04     0.00        1     0.00     0.00  void print_var2<int, double, char const*>(int, double, char const*)
  0.00      0.04     0.00        1     0.00     0.00  func_static()
  0.00      0.04     0.00        1     0.00     0.00  double Max<double>(double, double, double)
  0.00      0.04     0.00        1     0.00     0.00  int Max<int>(int, int)
  0.00      0.04     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.04     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.04     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.04     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.04     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.04     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.04     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.04     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.04     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.04     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.04     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.04     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.04     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.04     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.04     0.00        1     0.00     0.00  func8(int)
  0.00      0.04     0.00        1     0.00     0.00  void print<double>(double const&)
  0.00      0.04     0.00        1     0.00     0.00  void print<double, double>(double const&, double const&)
  0.00      0.04     0.00        1     0.00     0.00  void print<double, double, double>(double const&, double const&, double const&)
  0.00      0.04     0.00        1     0.00     0.00  void print<long>(long const&)
  0.00      0.04     0.00        1     0.00     0.00  func10(int, int)
  0.00      0.04     0.00        1     0.00     0.00  func12(int&)
  0.00      0.04     0.00        1     0.00     0.00  func20(int)
  0.00      0.04     0.00        1     0.00     0.00  func21(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.04     0.00        1     0.00     0.00  func21(double)
  0.00      0.04     0.00        1     0.00     0.00  func21(int)
  0.00      0.04     0.00        1     0.00     0.00  base_test()
  0.00      0.04     0.00        1     0.00     0.00  factorial(int)
  0.00      0.04     0.00        1     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      0.04     0.00        1     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      0.04     0.00        1     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      0.04     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      0.04     0.00        1     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      0.04     0.00        1     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      0.04     0.00        1     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.04     0.00        1     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      0.04     0.00        1     0.00     0.00  void (*std::for_each<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, void (*)(int)>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, void (*)(int)))(int)
